date,ed_reattends_day
2014-04-03,110.0
2014-04-04,138.0
2014-04-05,191.0
2014-04-06,176.0
2014-04-07,203.0
2014-04-08,173.0
2014-04-09,242.0
2014-04-10,188.0
2014-04-11,192.0
2014-04-12,198.0
2014-04-13,216.0
2014-04-14,230.0
2014-04-15,201.0
2014-04-16,227.0
2014-04-17,222.0
2014-04-18,226.0
2014-04-19,269.0
2014-04-20,196.0
2014-04-21,269.0
2014-04-22,235.0
2014-04-23,208.0
2014-04-24,187.0
2014-04-25,216.0
2014-04-26,199.0
2014-04-27,181.0
2014-04-28,194.0
2014-04-29,187.0
2014-04-30,197.0
2014-05-01,189.0
2014-05-02,201.0
2014-05-03,221.0
2014-05-04,251.0
2014-05-05,246.0
2014-05-06,240.0
2014-05-07,219.0
2014-05-08,207.0
2014-05-09,207.0
2014-05-10,180.0
2014-05-11,200.0
2014-05-12,230.0
2014-05-13,212.0
2014-05-14,225.0
2014-05-15,200.0
2014-05-16,221.0
2014-05-17,205.0
2014-05-18,221.0
2014-05-19,257.0
2014-05-20,196.0
2014-05-21,240.0
2014-05-22,190.0
2014-05-23,215.0
2014-05-24,227.0
2014-05-25,191.0
2014-05-26,246.0
2014-05-27,245.0
2014-05-28,202.0
2014-05-29,220.0
2014-05-30,220.0
2014-05-31,194.0
2014-06-01,227.0
2014-06-02,252.0
2014-06-03,205.0
2014-06-04,220.0
2014-06-05,207.0
2014-06-06,241.0
2014-06-07,214.0
2014-06-08,216.0
2014-06-09,243.0
2014-06-10,228.0
2014-06-11,224.0
2014-06-12,162.0
2014-06-13,221.0
2014-06-14,235.0
2014-06-15,215.0
2014-06-16,234.0
2014-06-17,245.0
2014-06-18,205.0
2014-06-19,208.0
2014-06-20,234.0
2014-06-21,221.0
2014-06-22,243.0
2014-06-23,234.0
2014-06-24,218.0
2014-06-25,222.0
2014-06-26,193.0
2014-06-27,201.0
2014-06-28,224.0
2014-06-29,214.0
2014-06-30,221.0
2014-07-01,197.0
2014-07-02,213.0
2014-07-03,217.0
2014-07-04,216.0
2014-07-05,245.0
2014-07-06,224.0
2014-07-07,226.0
2014-07-08,188.0
2014-07-09,208.0
2014-07-10,211.0
2014-07-11,217.0
2014-07-12,225.0
2014-07-13,266.0
2014-07-14,260.0
2014-07-15,255.0
2014-07-16,219.0
2014-07-17,211.0
2014-07-18,207.0
2014-07-19,207.0
2014-07-20,233.0
2014-07-21,227.0
2014-07-22,220.0
2014-07-23,212.0
2014-07-24,233.0
2014-07-25,189.0
2014-07-26,237.0
2014-07-27,245.0
2014-07-28,263.0
2014-07-29,232.0
2014-07-30,231.0
2014-07-31,208.0
2014-08-01,215.0
2014-08-02,226.0
2014-08-03,223.0
2014-08-04,242.0
2014-08-05,211.0
2014-08-06,211.0
2014-08-07,211.0
2014-08-08,184.0
2014-08-09,220.0
2014-08-10,223.0
2014-08-11,234.0
2014-08-12,194.0
2014-08-13,196.0
2014-08-14,183.0
2014-08-15,166.0
2014-08-16,198.0
2014-08-17,214.0
2014-08-18,245.0
2014-08-19,199.0
2014-08-20,229.0
2014-08-21,201.0
2014-08-22,195.0
2014-08-23,196.0
2014-08-24,259.0
2014-08-25,218.0
2014-08-26,223.0
2014-08-27,218.0
2014-08-28,174.0
2014-08-29,205.0
2014-08-30,210.0
2014-08-31,249.0
2014-09-01,205.0
2014-09-02,188.0
2014-09-03,179.0
2014-09-04,170.0
2014-09-05,218.0
2014-09-06,223.0
2014-09-07,219.0
2014-09-08,209.0
2014-09-09,185.0
2014-09-10,235.0
2014-09-11,215.0
2014-09-12,230.0
2014-09-13,219.0
2014-09-14,236.0
2014-09-15,221.0
2014-09-16,251.0
2014-09-17,224.0
2014-09-18,232.0
2014-09-19,206.0
2014-09-20,233.0
2014-09-21,230.0
2014-09-22,218.0
2014-09-23,185.0
2014-09-24,222.0
2014-09-25,191.0
2014-09-26,224.0
2014-09-27,211.0
2014-09-28,235.0
2014-09-29,256.0
2014-09-30,212.0
2014-10-01,199.0
2014-10-02,200.0
2014-10-03,193.0
2014-10-04,188.0
2014-10-05,205.0
2014-10-06,245.0
2014-10-07,154.0
2014-10-08,190.0
2014-10-09,192.0
2014-10-10,217.0
2014-10-11,205.0
2014-10-12,186.0
2014-10-13,224.0
2014-10-14,190.0
2014-10-15,167.0
2014-10-16,176.0
2014-10-17,190.0
2014-10-18,186.0
2014-10-19,196.0
2014-10-20,203.0
2014-10-21,210.0
2014-10-22,191.0
2014-10-23,205.0
2014-10-24,175.0
2014-10-25,192.0
2014-10-26,193.0
2014-10-27,202.0
2014-10-28,192.0
2014-10-29,180.0
2014-10-30,185.0
2014-10-31,189.0
2014-11-01,202.0
2014-11-02,217.0
2014-11-03,192.0
2014-11-04,197.0
2014-11-05,176.0
2014-11-06,181.0
2014-11-07,204.0
2014-11-08,182.0
2014-11-09,190.0
2014-11-10,195.0
2014-11-11,163.0
2014-11-12,156.0
2014-11-13,198.0
2014-11-14,180.0
2014-11-15,211.0
2014-11-16,214.0
2014-11-17,178.0
2014-11-18,175.0
2014-11-19,163.0
2014-11-20,189.0
2014-11-21,175.0
2014-11-22,197.0
2014-11-23,182.0
2014-11-24,205.0
2014-11-25,152.0
2014-11-26,175.0
2014-11-27,164.0
2014-11-28,175.0
2014-11-29,187.0
2014-11-30,181.0
2014-12-01,180.0
2014-12-02,136.0
2014-12-03,201.0
2014-12-04,135.0
2014-12-05,164.0
2014-12-06,190.0
2014-12-07,213.0
2014-12-08,192.0
2014-12-09,169.0
2014-12-10,150.0
2014-12-11,187.0
2014-12-12,173.0
2014-12-13,194.0
2014-12-14,213.0
2014-12-15,234.0
2014-12-16,183.0
2014-12-17,188.0
2014-12-18,157.0
2014-12-19,202.0
2014-12-20,174.0
2014-12-21,206.0
2014-12-22,174.0
2014-12-23,152.0
2014-12-24,152.0
2014-12-25,115.0
2014-12-26,192.0
2014-12-27,238.0
2014-12-28,206.0
2014-12-29,168.0
2014-12-30,159.0
2014-12-31,147.0
2015-01-01,211.0
2015-01-02,238.0
2015-01-03,221.0
2015-01-04,171.0
2015-01-05,175.0
2015-01-06,163.0
2015-01-07,145.0
2015-01-08,139.0
2015-01-09,138.0
2015-01-10,178.0
2015-01-11,177.0
2015-01-12,145.0
2015-01-13,131.0
2015-01-14,175.0
2015-01-15,129.0
2015-01-16,157.0
2015-01-17,172.0
2015-01-18,180.0
2015-01-19,177.0
2015-01-20,165.0
2015-01-21,110.0
2015-01-22,179.0
2015-01-23,160.0
2015-01-24,170.0
2015-01-25,174.0
2015-01-26,148.0
2015-01-27,161.0
2015-01-28,155.0
2015-01-29,135.0
2015-01-30,173.0
2015-01-31,175.0
2015-02-01,183.0
2015-02-02,177.0
2015-02-03,140.0
2015-02-04,164.0
2015-02-05,159.0
2015-02-06,178.0
2015-02-07,209.0
2015-02-08,202.0
2015-02-09,247.0
2015-02-10,180.0
2015-02-11,222.0
2015-02-12,191.0
2015-02-13,187.0
2015-02-14,199.0
2015-02-15,192.0
2015-02-16,199.0
2015-02-17,186.0
2015-02-18,171.0
2015-02-19,198.0
2015-02-20,163.0
2015-02-21,218.0
2015-02-22,184.0
2015-02-23,186.0
2015-02-24,164.0
2015-02-25,153.0
2015-02-26,191.0
2015-02-27,170.0
2015-02-28,192.0
2015-03-01,190.0
2015-03-02,187.0
2015-03-03,167.0
2015-03-04,180.0
2015-03-05,180.0
2015-03-06,186.0
2015-03-07,237.0
2015-03-08,191.0
2015-03-09,186.0
2015-03-10,182.0
2015-03-11,188.0
2015-03-12,187.0
2015-03-13,198.0
2015-03-14,168.0
2015-03-15,175.0
2015-03-16,202.0
2015-03-17,148.0
2015-03-18,196.0
2015-03-19,200.0
2015-03-20,212.0
2015-03-21,197.0
2015-03-22,197.0
2015-03-23,266.0
2015-03-24,213.0
2015-03-25,183.0
2015-03-26,179.0
2015-03-27,188.0
2015-03-28,218.0
2015-03-29,182.0
2015-03-30,211.0
2015-03-31,212.0
2015-04-01,174.0
2015-04-02,196.0
2015-04-03,257.0
2015-04-04,226.0
2015-04-05,215.0
2015-04-06,260.0
2015-04-07,239.0
2015-04-08,196.0
2015-04-09,183.0
2015-04-10,202.0
2015-04-11,225.0
2015-04-12,232.0
2015-04-13,215.0
2015-04-14,197.0
2015-04-15,170.0
2015-04-16,250.0
2015-04-17,211.0
2015-04-18,237.0
2015-04-19,211.0
2015-04-20,189.0
2015-04-21,182.0
2015-04-22,193.0
2015-04-23,198.0
2015-04-24,188.0
2015-04-25,223.0
2015-04-26,188.0
2015-04-27,221.0
2015-04-28,164.0
2015-04-29,187.0
2015-04-30,178.0
2015-05-01,182.0
2015-05-02,205.0
2015-05-03,204.0
2015-05-04,247.0
2015-05-05,249.0
2015-05-06,204.0
2015-05-07,208.0
2015-05-08,213.0
2015-05-09,216.0
2015-05-10,209.0
2015-05-11,228.0
2015-05-12,222.0
2015-05-13,223.0
2015-05-14,203.0
2015-05-15,209.0
2015-05-16,201.0
2015-05-17,206.0
2015-05-18,229.0
2015-05-19,147.0
2015-05-20,166.0
2015-05-21,204.0
2015-05-22,197.0
2015-05-23,228.0
2015-05-24,236.0
2015-05-25,256.0
2015-05-26,238.0
2015-05-27,227.0
2015-05-28,228.0
2015-05-29,181.0
2015-05-30,177.0
2015-05-31,246.0
2015-06-01,203.0
2015-06-02,192.0
2015-06-03,195.0
2015-06-04,192.0
2015-06-05,183.0
2015-06-06,204.0
2015-06-07,205.0
2015-06-08,221.0
2015-06-09,208.0
2015-06-10,176.0
2015-06-11,256.0
2015-06-12,179.0
2015-06-13,198.0
2015-06-14,213.0
2015-06-15,222.0
2015-06-16,233.0
2015-06-17,194.0
2015-06-18,227.0
2015-06-19,204.0
2015-06-20,247.0
2015-06-21,181.0
2015-06-22,211.0
2015-06-23,208.0
2015-06-24,198.0
2015-06-25,244.0
2015-06-26,205.0
2015-06-27,226.0
2015-06-28,228.0
2015-06-29,250.0
2015-06-30,243.0
2015-07-01,188.0
2015-07-02,223.0
2015-07-03,261.0
2015-07-04,221.0
2015-07-05,289.0
2015-07-06,249.0
2015-07-07,203.0
2015-07-08,209.0
2015-07-09,177.0
2015-07-10,217.0
2015-07-11,219.0
2015-07-12,238.0
2015-07-13,255.0
2015-07-14,232.0
2015-07-15,257.0
2015-07-16,191.0
2015-07-17,224.0
2015-07-18,238.0
2015-07-19,257.0
2015-07-20,252.0
2015-07-21,177.0
2015-07-22,213.0
2015-07-23,218.0
2015-07-24,161.0
2015-07-25,219.0
2015-07-26,216.0
2015-07-27,233.0
2015-07-28,209.0
2015-07-29,203.0
2015-07-30,179.0
2015-07-31,207.0
2015-08-01,250.0
2015-08-02,224.0
2015-08-03,251.0
2015-08-04,209.0
2015-08-05,227.0
2015-08-06,197.0
2015-08-07,231.0
2015-08-08,240.0
2015-08-09,231.0
2015-08-10,238.0
2015-08-11,253.0
2015-08-12,189.0
2015-08-13,202.0
2015-08-14,180.0
2015-08-15,202.0
2015-08-16,227.0
2015-08-17,239.0
2015-08-18,204.0
2015-08-19,181.0
2015-08-20,164.0
2015-08-21,214.0
2015-08-22,231.0
2015-08-23,233.0
2015-08-24,222.0
2015-08-25,174.0
2015-08-26,168.0
2015-08-27,184.0
2015-08-28,210.0
2015-08-29,226.0
2015-08-30,238.0
2015-08-31,230.0
2015-09-01,220.0
2015-09-02,179.0
2015-09-03,197.0
2015-09-04,215.0
2015-09-05,193.0
2015-09-06,214.0
2015-09-07,245.0
2015-09-08,201.0
2015-09-09,228.0
2015-09-10,185.0
2015-09-11,207.0
2015-09-12,236.0
2015-09-13,235.0
2015-09-14,221.0
2015-09-15,190.0
2015-09-16,187.0
2015-09-17,193.0
2015-09-18,239.0
2015-09-19,193.0
2015-09-20,218.0
2015-09-21,206.0
2015-09-22,245.0
2015-09-23,200.0
2015-09-24,178.0
2015-09-25,172.0
2015-09-26,191.0
2015-09-27,249.0
2015-09-28,233.0
2015-09-29,212.0
2015-09-30,233.0
2015-10-01,195.0
2015-10-02,186.0
2015-10-03,222.0
2015-10-04,198.0
2015-10-05,248.0
2015-10-06,198.0
2015-10-07,209.0
2015-10-08,199.0
2015-10-09,222.0
2015-10-10,182.0
2015-10-11,228.0
2015-10-12,200.0
2015-10-13,194.0
2015-10-14,171.0
2015-10-15,204.0
2015-10-16,201.0
2015-10-17,239.0
2015-10-18,218.0
2015-10-19,241.0
2015-10-20,226.0
2015-10-21,188.0
2015-10-22,195.0
2015-10-23,201.0
2015-10-24,203.0
2015-10-25,210.0
2015-10-26,214.0
2015-10-27,231.0
2015-10-28,185.0
2015-10-29,190.0
2015-10-30,192.0
2015-10-31,204.0
2015-11-01,268.0
2015-11-02,198.0
2015-11-03,218.0
2015-11-04,169.0
2015-11-05,176.0
2015-11-06,196.0
2015-11-07,212.0
2015-11-08,208.0
2015-11-09,213.0
2015-11-10,182.0
2015-11-11,198.0
2015-11-12,201.0
2015-11-13,199.0
2015-11-14,201.0
2015-11-15,196.0
2015-11-16,244.0
2015-11-17,176.0
2015-11-18,177.0
2015-11-19,175.0
2015-11-20,190.0
2015-11-21,174.0
2015-11-22,198.0
2015-11-23,184.0
2015-11-24,216.0
2015-11-25,218.0
2015-11-26,202.0
2015-11-27,184.0
2015-11-28,180.0
2015-11-29,218.0
2015-11-30,250.0
2015-12-01,217.0
2015-12-02,156.0
2015-12-03,198.0
2015-12-04,153.0
2015-12-05,209.0
2015-12-06,201.0
2015-12-07,213.0
2015-12-08,197.0
2015-12-09,160.0
2015-12-10,203.0
2015-12-11,188.0
2015-12-12,199.0
2015-12-13,197.0
2015-12-14,207.0
2015-12-15,217.0
2015-12-16,178.0
2015-12-17,189.0
2015-12-18,208.0
2015-12-19,208.0
2015-12-20,189.0
2015-12-21,229.0
2015-12-22,176.0
2015-12-23,156.0
2015-12-24,134.0
2015-12-25,162.0
2015-12-26,178.0
2015-12-27,206.0
2015-12-28,240.0
2015-12-29,238.0
2015-12-30,159.0
2015-12-31,157.0
2016-01-01,211.0
2016-01-02,249.0
2016-01-03,202.0
2016-01-04,206.0
2016-01-05,218.0
2016-01-06,166.0
2016-01-07,178.0
2016-01-08,204.0
2016-01-09,202.0
2016-01-10,175.0
2016-01-11,219.0
2016-01-12,145.0
2016-01-13,203.0
2016-01-14,174.0
2016-01-15,154.0
2016-01-16,182.0
2016-01-17,198.0
2016-01-18,205.0
2016-01-19,159.0
2016-01-20,181.0
2016-01-21,178.0
2016-01-22,166.0
2016-01-23,177.0
2016-01-24,231.0
2016-01-25,210.0
2016-01-26,185.0
2016-01-27,173.0
2016-01-28,181.0
2016-01-29,177.0
2016-01-30,205.0
2016-01-31,190.0
2016-02-01,185.0
2016-02-02,191.0
2016-02-03,199.0
2016-02-04,170.0
2016-02-05,162.0
2016-02-06,208.0
2016-02-07,209.0
2016-02-08,232.0
2016-02-09,206.0
2016-02-10,186.0
2016-02-11,183.0
2016-02-12,208.0
2016-02-13,187.0
2016-02-14,229.0
2016-02-15,203.0
2016-02-16,186.0
2016-02-17,174.0
2016-02-18,219.0
2016-02-19,209.0
2016-02-20,212.0
2016-02-21,205.0
2016-02-22,201.0
2016-02-23,217.0
2016-02-24,213.0
2016-02-25,164.0
2016-02-26,199.0
2016-02-27,202.0
2016-02-28,213.0
2016-02-29,244.0
2016-03-01,204.0
2016-03-02,206.0
2016-03-03,215.0
2016-03-04,201.0
2016-03-05,227.0
2016-03-06,170.0
2016-03-07,260.0
2016-03-08,192.0
2016-03-09,210.0
2016-03-10,218.0
2016-03-11,203.0
2016-03-12,242.0
2016-03-13,203.0
2016-03-14,255.0
2016-03-15,199.0
2016-03-16,235.0
2016-03-17,207.0
2016-03-18,197.0
2016-03-19,213.0
2016-03-20,246.0
2016-03-21,268.0
2016-03-22,220.0
2016-03-23,183.0
2016-03-24,199.0
2016-03-25,210.0
2016-03-26,219.0
2016-03-27,209.0
2016-03-28,258.0
2016-03-29,242.0
2016-03-30,227.0
2016-03-31,195.0
2016-04-01,226.0
2016-04-02,228.0
2016-04-03,237.0
2016-04-04,245.0
2016-04-05,187.0
2016-04-06,194.0
2016-04-07,199.0
2016-04-08,191.0
2016-04-09,220.0
2016-04-10,193.0
2016-04-11,185.0
2016-04-12,214.0
2016-04-13,197.0
2016-04-14,196.0
2016-04-15,158.0
2016-04-16,198.0
2016-04-17,252.0
2016-04-18,224.0
2016-04-19,199.0
2016-04-20,160.0
2016-04-21,189.0
2016-04-22,186.0
2016-04-23,202.0
2016-04-24,198.0
2016-04-25,256.0
2016-04-26,220.0
2016-04-27,179.0
2016-04-28,178.0
2016-04-29,181.0
2016-04-30,227.0
2016-05-01,247.0
2016-05-02,243.0
2016-05-03,207.0
2016-05-04,221.0
2016-05-05,213.0
2016-05-06,235.0
2016-05-07,216.0
2016-05-08,247.0
2016-05-09,232.0
2016-05-10,224.0
2016-05-11,231.0
2016-05-12,250.0
2016-05-13,257.0
2016-05-14,207.0
2016-05-15,242.0
